Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
5054197424878,The Wombats,"A Guide To Love, Loss & Desperation","14th Floor Records, Warner Records","LP, Album, Ltd, RE, Pin",3,2023,26904158,Uncategorized,2024-01-06 03:27:26,Very Good Plus (VG+),Very Good Plus (VG+),
"88985 45369 1, 88985453691",Various,Baby Driver (Music From The Motion Picture),"30th Century Records, 30th Century Records, Columbia, Columbia, Sony Music, Sony Music","2xLP, Comp",4,2017,10548165,Uncategorized,2022-08-21 06:44:11,Near Mint (NM or M-),Very Good Plus (VG+),
00600753454589,Supertramp,Breakfast In America,A&M Records,"LP, Album, Pic, RE",4,2013,5030690,Uncategorized,2024-01-06 03:30:51,Very Good Plus (VG+),Generic,
AMA 5072,Suzanne Vega,Suzanne Vega,A&M Records,"LP, Album",2,1985,1480600,Uncategorized,2020-02-06 15:03:40,Poor (P),Poor (P),
AMLS 68258,Supertramp,Crime Of The Century,A&M Records,"LP, Album",3,1974,1300867,Uncategorized,2024-03-10 13:28:14,Good (G),Good (G),
88131-1,The Beths,Straight Line Was A Lie,Anti-,"LP, Album",5,2025,34975097,Uncategorized,2025-09-02 09:33:50,Near Mint (NM or M-),Near Mint (NM or M-),
SD 16009,ABBA,Greatest Hits Vol. 2,Atlantic,"LP, Comp, Gat",4,1979,597282,Uncategorized,2023-11-14 06:13:56,Fair (F),Fair (F),
"007568661815, 558631-1","Benj Pasek, Justin Paul (5)",Dear Evan Hansen: Original Broadway Cast Recording,"Atlantic, Atlantic","2xLP, Album",4,2017,15397102,Uncategorized,2024-12-28 06:17:48,Near Mint (NM or M-),Very Good Plus (VG+),
"1-628803, 628803-1",Various,In The Heights (Original Motion Picture Soundtrack),"Atlantic, WaterTower Music","2xLP, Album",4,2021,19464895,Uncategorized,2022-06-04 08:38:23,Very Good (VG),Very Good Plus (VG+),
BUN671,Kodaline,One Day At A Time,B-Unique Records,"2xLP, Album, Dlx",3,2020,16304927,Uncategorized,2023-01-10 08:30:23,Near Mint (NM or M-),Near Mint (NM or M-),
02,Dirty Old Mat,Depuis Que...,Baragwin,"LP, Album",1,2020,21492910,Uncategorized,2024-03-07 00:10:31,Near Mint (NM or M-),Near Mint (NM or M-),
538804010,Tom Chaplin,Midpoint,BMG,"LP, Album + LP, S/Sided, Album",4,2022,24822602,Uncategorized,2023-01-10 10:16:54,Very Good Plus (VG+),Near Mint (NM or M-),
BMGCAT434LP,The Kinks,Lola Versus Powerman And The Moneygoround (Part One),"BMG, Pye Records, ABKCO","LP, Album, RE, RM, 50t",4,2020,16417164,Uncategorized,2023-04-29 10:14:33,Near Mint (NM or M-),Near Mint (NM or M-),
CAK127,The Beths,Warm Blood,Carpark Records,"12"", EP, RE, Cus",4,2022,25476202,Uncategorized,2024-01-10 01:17:13,Very Good Plus (VG+),Very Good Plus (VG+),
CAK143,The Beths,Jump Rope Gazers,Carpark Records,"LP, Album, Tan",5,2020,15587057,Uncategorized,2024-04-19 02:25:42,Very Good Plus (VG+),Very Good Plus (VG+),
CAK157,The Beths,"Auckland, New Zealand, 2020",Carpark Records,"2xLP, Album, Hot",5,2021,20264329,Uncategorized,2024-01-10 01:16:20,Very Good Plus (VG+),Very Good Plus (VG+),
CAK164,The Beths,Expert In A Dying Field,Carpark Records,"LP, Album, Can",5,2022,24495668,Uncategorized,2024-01-06 03:28:51,Very Good Plus (VG+),Very Good Plus (VG+),
465658 1,Billy Joel,Storm Front,CBS,"LP, Album",3,1989,4050092,Uncategorized,2024-03-17 02:01:27,Very Good (VG),Very Good (VG),
85959,Billy Joel,The Nylon Curtain,CBS,"LP, Album",4,1982,17607529,Uncategorized,2025-03-16 02:50:57,Very Good (VG),Very Good (VG),
CBS 32542,Bruce Springsteen,Darkness On The Edge Of Town,CBS,"LP, Album, RE, Rei",4,1984,8205659,Uncategorized,2023-04-15 04:08:30,Very Good (VG),Very Good (VG),
CBS 86304,Bruce Springsteen,Born In The U.S.A.,CBS,"LP, Album, Sun",5,1984,1326723,Uncategorized,2023-04-15 04:23:01,Very Good (VG),Very Good Plus (VG+),
S 63699,Simon & Garfunkel,Bridge Over Troubled Water,CBS,"LP, Album",5,1970,14670332,Uncategorized,2022-01-12 00:00:57,Fair (F),Fair (F),
"450227 1, CBS 450227 1",Bruce Springsteen & The E-Street Band,Live 1975-85,"CBS, CBS","5xLP, Album + Box, Album",4,1986,524230,Uncategorized,2025-02-18 09:57:16,Good Plus (G+),Good Plus (G+),
"CBS 86108, S CBS 86108",Billy Joel,Glass Houses,"CBS, CBS","LP, Album",4,1980,1029163,Uncategorized,2023-03-09 11:59:15,Good Plus (G+),Very Good Plus (VG+),
"SBPG 62690, 62690",Simon & Garfunkel,Sounds Of Silence,"CBS, CBS","LP, Album",2,1966,12121822,Uncategorized,2022-05-27 03:45:05,Very Good Plus (VG+),Very Good Plus (VG+),
"SBPG 62860, 62860",Simon & Garfunkel,"Parsley, Sage, Rosemary And Thyme","CBS, CBS","LP, Album",3,1966,6231942,Uncategorized,2022-01-12 00:00:12,Good Plus (G+),Good Plus (G+),
"CBS 10007, 10007, JC 35032, S CBS 10007",Paul Simon,"Greatest Hits, Etc.","CBS, CBS, CBS, CBS","LP, Comp",5,1977,1475706,Uncategorized,2022-11-26 14:10:51,Good Plus (G+),Good Plus (G+),
"S CBS 88510 , S CBS 84622, S CBS 84623, CBS 88510,",Bruce Springsteen,The River,"CBS, CBS, CBS, CBS, CBS","2xLP, Album",3,1980,4156330,Uncategorized,2024-12-28 06:23:06,Very Good (VG),Very Good (VG),
"CBS 25554, 25554",Billy Joel,An Innocent Man,"CBS, CBS, Family Productions","LP, Album",3,1983,1772024,Uncategorized,2023-03-09 11:59:15,Very Good (VG),Very Good Plus (VG+),
19439984121,George Ezra,Gold Rush Kid,Columbia,"LP, Album",4,2022,23530502,Uncategorized,2022-07-22 06:20:35,Very Good Plus (VG+),Very Good Plus (VG+),
KCS 9529,Simon & Garfunkel,Bookends,Columbia,"LP, Album",3,1968,4965525,Uncategorized,2022-09-07 09:24:13,Fair (F),Fair (F),
"CS 9049, 19075874951",Simon & Garfunkel,"Wednesday Morning, 3 A.M.","Columbia, Columbia, Sony Music","LP, Album, RE",3,2018,12695272,Uncategorized,2023-01-10 10:17:31,Near Mint (NM or M-),Near Mint (NM or M-),
88985459781,George Ezra,Staying At Tamara's,"Columbia, Sony Music","LP, Album + CD, Album",4,2018,11755653,Uncategorized,2022-02-12 02:22:00,,,
CR00216,The Original Broadway Cast Recording,Come From Away,Craft Recordings,"2xLP, Album, Blu",5,2019,13752134,Uncategorized,2023-11-14 06:12:15,Very Good Plus (VG+),Very Good Plus (VG+),
